Questions,Answers,Label
ازاي اشتري USB؟,تقدر تشتري أجهزة مودم وماي فاي والراوتر من خلال فروع فودافون.,الانترنت الهوائي
إيه هي مواصفات الراوتر الهوائي؟,سرعة داونلود تصل إلى 150 ميجا وسرعة أبلود تصل إلى 50 ميجا حسب قوة الشبكة في المنطقة أقصى عدد من المستخدمين 32 مستخدم.,الانترنت الهوائي
ازاي اقدر اتحكم في إعدادات الراوتر وأغير الواي فاي باسورد؟,تقدر تتحكم في إعدادات الراوتر باستخدام الاي بي المكتوب على ظهر الراوتر 192.168.8.1 وتعمل لوجن بالباسورد المكتوب على ظهر الراوتر Admin.,الانترنت الهوائي
إيه الباقة المتاحة لخطوط الداتا؟,"باقات اكستريم نت ، باقات سوبر باس ، باقات الانترنت الهوائي.",الانترنت الهوائي
ازاي أقدر أتحكم في الخط؟,تقدر تتابع الاستهلاك وتغير الباقة من خلال #2828* أو تطبيق أنا فودافون.,الانترنت الهوائي
ازاى اقدر احدد مكان الراوتر الهوائي؟,"تقدر تبعت رسالة لرقم 8070 مكتوب فيها كلمة ""home wireless"". وتقدر تحدد بحد أقصى 3 أماكن في السنة.",الانترنت الهوائي
ازاي اعرف اقرب فرع ليا؟,من خلال تطبيق أنا ڤودافون والكود *888*10#,الانترنت الهوائي
ازاي اقدر اشترك في الانترنت الأرضي؟,من خلال موقع فودافون وتطبيق أنا فودافون (http://vf.eg/dsl) وفروع فودافون و16416. للاشتراك محتاج رقم أرضي شغال وبطاقة سارية.,الانترنت الأرضي
إيه هي الراوترات الموجودة؟,"راوتر السوبر فيكتور زد تي اي: شبكة واي فاي بسرعات تصل إلى 300 ميجا على شبكة 2.4 جيجا هرتز وسرعات تصل إلى 867 ميجا على شبكة 5 جيجا هرتز ، يتحمل سرعات حتى 1000 ميجا بايت في الثانية ، أقصى عدد من المستخدمين 64 مستخدم.",الانترنت الأرضي
سعر الراوتر ايه؟,"راوتر السوبر فيكتور: 50 جنيه غير شاملة الضريبة (57 جنيه بالضريبة) إيجار شهري ، أو 750 جنيه غير شاملة الضريبة (855 جنيه بالضريبة) قيمة الشراء.",الانترنت الأرضي
ازاي أقدر استبدل الراوتر القديم براوتر السرعات العالية؟,"أطلب *2828*393# من الرقم المرتبط بخدمة الانترنت الأرضي والتوجه لأقرب فرع من فروع ڤودافون ، استبدال الراوتر متاح للمشتركين على السرعات العالية 30 و70 و100 و200 ميجا.",الانترنت الأرضي
ازاي أغير الباقة؟,"عملاء الكارت: من خلال تطبيق أنا فودافون، الكود #2828*، أو الخدمة الصوتية 2828. يجب شحن قيمة الباقة كاملة قبل التحويل ، عملاء الفاتورة: من خلال تطبيق أنا فودافون، الكود #2828*، أو الخدمة الصوتية 2828. يتم المحاسبة بشكل جزئي حتى ميعاد الفاتورة.",الانترنت الأرضي
ازاي اشتري باقة إضافية؟,مكن إضافة الباقة الإضافية من خلال تطبيق أنا ڤودافون https://vf.eg/dsl و*2828# والخدمة الصوتية 2828. لعملاء الكارت الباقة الإضافية صالحة لمدة 30 يوم. لعملاء الفاتورة الباقة الإضافية صالحة حتى ميعاد التجديد,الانترنت الأرضي
ازاي أقدر أغير باسورد الواي فاي للراوتر؟,تقدر تغير الباسورد من خلال تطبيق أنا ڤودافون .http://vf.eg/dsl الباسورد الجديد يجب أن يحتوي على حروف وأرقام وعلامات.,الانترنت الأرضي
ازاي ألغي خدمة الانترنت الأرضي؟,"بتحتاج تقدم طلب إلغاء من خلال فروع ڤودافون أو الدعم الفني 2828. لو الراوتر السرعات العالية أو راوتر السوبر فيكتور ، رسوم الإلغاء بتكون على حسب فترة الاشتراك.",الانترنت الأرضي
إيه هي فودافون كاش؟,هي محفظة إلكترونية تقدر تستخدمها علشان تسهل عليك تحويل فلوس أو تشحن رصيد أو تجدد فاتورة أو تدفع اونلاين أو تجدد الانترنت المنزلي أو خدمات دفع المرافق زي الغاز والكهرباء والمياه وبعض الأندية والمدارس والجامعات.,فودافون كاش
